_id,geometry,locality,placeName,placeNameId
5b418dfb3d88413b6ca9dfdd,"{""type"": ""MultiPoint"", ""coordinates"": [[172.71908112515197, -43.5746977023091]]}",Mt Pleasant,Major Hornbrook Reserve No. 2,469
5b418dfb3d88413b6ca9df4d,"{""type"": ""MultiPoint"", ""coordinates"": [[172.547763671388, -43.5571459652348]]}",Hornby,Kahurangi 3 Drainage Reserve,3743
5b418dfb3d88413b6ca9df4e,"{""type"": ""MultiPoint"", ""coordinates"": [[172.548788057788, -43.5574286319563]]}",Hornby,Kahurangi 3 Drainage Reserve,3744
5b418dfb3d88413b6ca9df50,"{""type"": ""MultiPoint"", ""coordinates"": [[172.55155075414498, -43.5578306167334]]}",Hornby,Kahurangi 3 Drainage Reserve,3746
5b418dfb3d88413b6ca9df6e,"{""type"": ""MultiPoint"", ""coordinates"": [[172.540293891033, -43.573115641509]]}",Halswell,Kruger Drainage Reserve,3794
5b418dfb3d88413b6ca9df71,"{""type"": ""MultiPoint"", ""coordinates"": [[172.542368958767, -43.5717297770096]]}",Halswell,Monsanto Drainage Reserve,3798
5b418dfb3d88413b6ca9df98,"{""type"": ""MultiPoint"", ""coordinates"": [[172.575496809054, -43.484188641582094]]}",Bishopdale,Becmead Reserve,389
5b418dfb3d88413b6ca9dfd5,"{""type"": ""MultiPoint"", ""coordinates"": [[172.645430306555, -43.4936941744362]]}",Mairehau,Walter Park,461
5b418dfb3d88413b6ca9df43,"{""type"": ""MultiPoint"", ""coordinates"": [[172.657265450144, -43.535253160640494]]}",Linwood,Essex Reserve,370
5b418dfb3d88413b6ca9df34,"{""type"": ""MultiPoint"", ""coordinates"": [[172.690206759305, -43.5550582757977]]}",Woolston,Heathcote Riverbank True Right East,3637
5b418dfb3d88413b6ca9df4b,"{""type"": ""MultiPoint"", ""coordinates"": [[172.608150286333, -43.5231040504522]]}",Fendalton,Mona Vale,373
5b418dfb3d88413b6ca9df45,"{""type"": ""MultiPoint"", ""coordinates"": [[172.684052673157, -43.4893496728106]]}",Burwood,Waitakiri Primary School,3706
5b418dfb3d88413b6ca9df75,"{""type"": ""MultiPoint"", ""coordinates"": [[172.54116120867297, -43.5724215519908]]}",Halswell,Aberdare Drainage Reserve,3800
5b418dfb3d88413b6ca9df49,"{""type"": ""MultiPoint"", ""coordinates"": [[172.558095539086, -43.547125463143594]]}",Hornby,Pilkington Drainage Reserve,3711
5b418dfb3d88413b6ca9df8c,"{""type"": ""MultiPoint"", ""coordinates"": [[172.546018599554, -43.5747006395302]]}",Halswell,Caulfield Drainage Reserve,3843
5b418dfb3d88413b6ca9df4c,"{""type"": ""MultiPoint"", ""coordinates"": [[172.58590910539, -43.4818852411651]]}",Bishopdale,Stretton Reserve,374
5b418dfb3d88413b6ca9df9f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.552587743368, -43.5732138609921]]}",Oaklands,Vanderbilt Reserve,397
5b418dfb3d88413b6ca9df4f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.549026657482, -43.5574927903326]]}",Hornby,Kahurangi 3 Drainage Reserve,3745
5b418dfb3d88413b6ca9dfb8,"{""type"": ""MultiPoint"", ""coordinates"": [[172.63867451136497, -43.5554929834635]]}",Sydenham,Southey Reserve,423
5b418dfb3d88413b6ca9df5c,"{""type"": ""MultiPoint"", ""coordinates"": [[172.553360903252, -43.577070889432]]}",Halswell,Halswell Junction Drainage Reserve,3769
5b418dfb3d88413b6ca9dfc6,"{""type"": ""MultiPoint"", ""coordinates"": [[172.616726585613, -43.5749898670813]]}",Hoon Hay Valley,Worsleys Reserve,441
5b418dfb3d88413b6ca9df61,"{""type"": ""MultiPoint"", ""coordinates"": [[172.54649201327098, -43.57311844825939]]}",Halswell,John Annan Park,3777
5b418dfb3d88413b6ca9dfd7,"{""type"": ""MultiPoint"", ""coordinates"": [[172.644235614414, -43.5551851805236]]}",Sydenham,Regal Courts,463
5b418dfb3d88413b6ca9dfbf,"{""type"": ""MultiPoint"", ""coordinates"": [[172.617347034789, -43.4869916535135]]}",Redwood,Papanui Pool Reserve,433
5b418dfb3d88413b6ca9dfd9,"{""type"": ""MultiPoint"", ""coordinates"": [[172.558168658514, -43.5691547961259]]}",Westlake,Campion Reserve,465
5b418dfb3d88413b6ca9dfdc,"{""type"": ""MultiPoint"", ""coordinates"": [[172.744799541108, -43.5661453078798]]}",Moncks Bay,Yacht Club Reserve,468
5b418dfb3d88413b6ca9df32,"{""type"": ""MultiPoint"", ""coordinates"": [[172.68190759498899, -43.553150744066]]}",Woolston,Heathcote Riverbank True Left East,3634
5b418dfb3d88413b6ca9df37,"{""type"": ""MultiPoint"", ""coordinates"": [[172.5421445993, -43.545046129063]]}",Hornby,Sockburn School,364
5b418dfb3d88413b6ca9df38,"{""type"": ""MultiPoint"", ""coordinates"": [[172.681184490835, -43.5568589463022]]}",Woolston,Heathcote Riverbank True Left East,3641
5b418dfb3d88413b6ca9df60,"{""type"": ""MultiPoint"", ""coordinates"": [[172.547105824343, -43.5773393622872]]}",Halswell,Greenaway Park,3776
5b418dfb3d88413b6ca9df72,"{""type"": ""MultiPoint"", ""coordinates"": [[172.542597780654, -43.5718788925722]]}",Halswell,Monsanto Drainage Reserve,3799
